Req ID,Req Name,Verif ID,Verif Type,Acceptance Oracle
ARC-001,Process Boundaries,ARC-001-V1,AnalysisArtifact,"Architecture diagram, generated process graph, and source tree confirm the four declared process boundaries and interfaces."
ARC-002,Responsibility Separation,ARC-002-V1,AutomatedTest,"Dependency rules deny inference clients in Rust, deny canonical matching-state mutation from Python, and prove that cross-process mutations use versioned IPC only."
SEC-001,Offline Replay Mode,SEC-001-V1,AutomatedTest,"Replay denies AF_INET, AF_INET6, and DNS while permitted AF_UNIX IPC succeeds; prohibited access aborts the run and commits no valid final artifact."
SEC-002,Prospective Observation Mode,SEC-002-V1,AutomatedTest,Only allowlisted non-transactional research data routes succeed; unknown destinations fail and produce durable network-denial records.
SEC-003,Non-Monetary Enforcement,SEC-003-V1,AutomatedTest,"Source, dependency, configuration, secret, and network-policy scans find no remote execution adapter, private-key path, payment path, or real-service submission route."
SEC-004,IPC Authentication and Secondary Validation,SEC-004-V1,AutomatedTest,"An allowed peer with an invalid semantic payload receives the correct rejection and cannot bypass Rust-side freshness, target-version, bounds, or replay validation."
PLT-001,Supported Platform,PLT-001-V1,AutomatedTest,A connection from a mismatched effective UID/GID or unsupported user-namespace mapping is rejected fail-closed.
DEM-001,Local Mock Gateway Boundary,DEM-001-V1,AutomatedTest,"Gateway binds only local interfaces, resolves no external host, and supports the complete local mock lifecycle contract."
DEM-002,Environment Pinning,DEM-002-V1,AutomatedTest,"Any environment other than LOCAL_MOCK_DEMO, or any configuration containing an external hostname or credential, is rejected before startup."
DEM-003,Execution-Class Separation,DEM-003-V1,AutomatedTest,Identical intents routed to local matching and mock gateway produce records with distinct execution classes and cannot be merged silently.
DEM-004,Canonical Mock Audit,DEM-004-V1,AutomatedTest,"A scripted rejection, partial fill, cancellation, and final fill produce complete canonical audit records with matching hashes and timestamps."
DEM-005,Trace Capture and Replay,DEM-005-V1,AutomatedTest,A frozen mock trace replays with no gateway call and yields identical canonical lifecycle artifacts.
DEM-006,Mock-to-Local Comparison,DEM-006-V1,AutomatedTest,"Controlled fixtures reproduce precomputed disagreement, latency, quantity, price, and lifecycle-divergence metrics."
CLK-001,Logical Simulation Clock,CLK-001-V1,AutomatedTest,"Identical trace under throttled and unthrottled CPU load yields identical logical timestamps, dispositions, ledgers, and canonical state hash; runtime telemetry may differ."
DAT-001,Bitemporal Data Availability,DAT-001-V1,AutomatedTest,A historically dated correction first observed after decision_cutoff_at does not alter any earlier materialized forecast artifact.
TIM-001,Cross-Market Snapshot Coherence,TIM-001-V1,AutomatedTest,Version vectors at or below DeltaSkewMax are accepted; vectors above it are deterministically rejected as incoherent.
TEL-001,Cross-Process Latency,TEL-001-V1,AutomatedTest,Telemetry labels RTT and local durations correctly and contains no subtraction of unrelated process monotonic timestamps.
STA-001,Atomic Market Snapshot,STA-001-V1,AutomatedTest,High-frequency readers during concurrent snapshot/delta publication observe no torn state and exactly match a serial reference model.
STA-002,Feed Integrity and Resynchronization,STA-002-V1,AutomatedTest,A gap or reconnect marks the market Fragmented and blocks all dependent operations until authoritative snapshot and eligible deltas are atomically validated.
STA-003,Order-Book Depth and Validity,STA-003-V1,AutomatedTest,Invalid or stale states return RejectedStateInvalid; valid states with inadequate depth return RejectedInsufficientDepth; sufficient states match the reference depth calculation.
TYP-001,Explicit Integer Domain Types,TYP-001-V1,AutomatedTest,Boundary fuzzing produces no unchecked wraparound or process panic; out-of-range operations return the documented error without state mutation.
TYP-002,Checked Arithmetic,TYP-002-V1,AutomatedTest,Wide-intermediate notional calculations match an independent high-precision reference within the configured maximum scaled-unit rounding error.
TYP-003,Cross-Boundary Probabilities,TYP-003-V1,AutomatedTest,"Negative, above-scale, malformed, and inconsistent uncertainty values are rejected with RejectedBounds before policy evaluation."
COST-001,Versioned Cost Model,COST-001-V1,AutomatedTest,A reference scenario with sufficient depth but insufficient cash after costs is rejected without changing visible depth or ledger state.
IPC-001,Deterministic Framing,IPC-001-V1,AutomatedTest,Oversized and incomplete frames preserve bounded memory; no payload allocation proportional to the declared oversized length occurs; connection closes at the configured limit or timeout.
IPC-002,Closed Status Enums,IPC-002-V1,AutomatedTest,ReceiptStatus and DispositionStatus deserialize only declared variants; AcceptedQueued precedes later lifecycle disposition and cannot be mistaken for completion.
IPC-003,Complete Forecast Schema,IPC-003-V1,AutomatedTest,Omission or invalidity of any required field deterministically returns RejectedSchema or RejectedBounds with no queued message.
IPC-004,Deterministic Admission and Eviction,IPC-004-V1,AutomatedTest,"When the incoming message ranks below all retained messages, it receives RejectedCapacity and queue contents remain exactly unchanged."
IPC-004,Deterministic Admission and Eviction,IPC-004-V2,AutomatedTest,"When the incoming message outranks a known queued message, it receives AcceptedQueued, the expected message receives Evicted, and the final retained ID set exactly matches the fixture."
IPC-005,Sender Sequence Semantics,IPC-005-V1,AutomatedTest,A legitimate retry preserves identity and returns DuplicateRetry after journal commit; a new process instance is accepted; sequence regression in an existing instance returns ReplaySequenceViolation.
AUD-001,Durable Event Journal,AUD-001-V1,AutomatedTest,Crash injection after each journal lifecycle boundary reconstructs the unique last durable state and validates checksums and hash linkage.
AUD-002,Idempotency Recovery,AUD-002-V1,AutomatedTest,Crash before durable journaling followed by retry produces exactly one terminal disposition.
AUD-002,Idempotency Recovery,AUD-002-V2,AutomatedTest,Crash after durable journaling followed by retry returns DuplicateRetry and produces no additional disposition.
AUD-003,Database Spooling,AUD-003-V1,AutomatedTest,"With database unavailable and spool capacity available, every record is checksummed, spooled, and reconciled exactly once."
AUD-003,Database Spooling,AUD-003-V2,AutomatedTest,"When spool capacity is exhausted, no new state-changing work is accepted, the system enters the configured Degraded or Halting state, and no record is silently deleted."
AUD-004,Crash-Consistent Transition Commit,AUD-004-V1,AutomatedTest,"SIGKILL before plan, after plan, during apply, after apply, and after commit results in exactly one final ledger transition for the transition ID."
FCP-001,Forecast-to-Simulation Policy,FCP-001-V1,AutomatedTest,A policy or model-affecting configuration change after holdout access is rejected unless a new experiment ID and untouched evaluation period are registered.
FCP-002,Simulation Intent Schema,FCP-002-V1,AutomatedTest,Identical canonical inputs produce a bit-identical intent and deterministic simulation_intent_id; random runtime metadata is excluded from the canonical hash.
EXP-001,Experiment Registration,EXP-001-V1,ManualVerification,"The preregistration manifest contains every required model, policy, metric, baseline, matching, cost, latency, exclusion, and correction field before evaluation."
EXP-002,Holdout Access Audit,EXP-002-V1,AutomatedTest,An unregistered holdout request is rejected and durably recorded; any later design change requires a new experiment.
CAL-001,Temporal Calibration Protocol,CAL-001-V1,AutomatedTest,"No underlying_event_group_id crosses partitions, and the declared frozen or prequential protocol is applied without mixing."
CAL-002,Probability Calibration,CAL-002-V1,AnalysisArtifact,"Architecture review confirms that raw model outputs cannot reach calibrated_probability without a separately versioned, temporally eligible calibration artifact."
CAL-002,Probability Calibration,CAL-002-V2,AutomatedTest,"With raw output fixed, changing the valid calibration artifact changes only calibrated fields and legitimate downstream artifacts; missing calibration triggers abstention or preregistered fallback."
CAL-003,Model Temporal Eligibility,CAL-003-V1,AutomatedTest,Every forecast in the causal historical primary evaluation references a frozen model artifact whose documented cutoff precedes the forecast cutoff; ineligible forecasts are excluded and reported.
CAL-004,Dual Baseline Protocol,CAL-004-V1,AutomatedTest,"Valid two-sided, one-sided, stale, fragmented, missing, and wide-spread fixtures apply the preregistered baseline or exclusion policy exactly."
TIM-002,Arrival-State Reconstruction,TIM-002-V1,AutomatedTest,Mutating every market update strictly after t_arrival leaves the arrival-state fill decision bit-identical.
